"movie_movieId","genre_name"
"114552","Adventure"
"115664","Adventure"
"113348","Adventure"
"113345","Adventure"
"112460","Adventure"
"112370","Adventure"
"112911","Adventure"
"112897","Adventure"
"112852","Adventure"
"111659","Adventure"
"111362","Adventure"
"111364","Adventure"
"112175","Adventure"
"111781","Adventure"
"110102","Adventure"
"110127","Adventure"
"110297","Adventure"
"110352","Adventure"
"110655","Adventure"
"110873","Adventure"
"109042","Adventure"
"109846","Adventure"
"108190","Adventure"
"108090","Adventure"
"108795","Adventure"
"108979","Adventure"
"108932","Adventure"
"106918","Adventure"
"108076","Adventure"
"106491","Adventure"
"106489","Adventure"
"106696","Adventure"
"106642","Adventure"
"106471","Adventure"
"106487","Adventure"
"106473","Adventure"
"106002","Adventure"
"106072","Adventure"
"105954","Adventure"
"105504","Adventure"
"105197","Adventure"
"105254","Adventure"
"104312","Adventure"
"104245","Adventure"
"104074","Adventure"
"103772","Adventure"
"103755","Adventure"
"103659","Adventure"
"103384","Adventure"
"102880","Adventure"
"103042","Adventure"
"103210","Adventure"
"103141","Adventure"
"103228","Adventure"
"102445","Adventure"
"102666","Adventure"
"102720","Adventure"
"101884","Adventure"
"102194","Adventure"
"102252","Adventure"
"101142","Adventure"
"101864","Adventure"
"101577","Adventure"
"101112","Adventure"
"101076","Adventure"
"101025","Adventure"
"156025","Adventure"
"156607","Adventure"
"152081","Adventure"
"159690","Adventure"
"157296","Adventure"
"161594","Adventure"
"160563","Adventure"
"161918","Adventure"
"162672","Adventure"
"163056","Adventure"
"142448","Adventure"
"144620","Adventure"
"146309","Adventure"
"145935","Adventure"
"149406","Adventure"
"136598","Adventure"
"136864","Adventure"
"136800","Adventure"
"137857","Adventure"
"138208","Adventure"
"138036","Adventure"
"139385","Adventure"
"139130","Adventure"
"139620","Adventure"
"134130","Adventure"
"136020","Adventure"
"136016","Adventure"
"135887","Adventure"
"135569","Adventure"
"135567","Adventure"
"135532","Adventure"
"135268","Adventure"
"135266","Adventure"
"135264","Adventure"
"135133","Adventure"
"134853","Adventure"
"132462","Adventure"
"131714","Adventure"
"132046","Adventure"
"130450","Adventure"
"130520","Adventure"
"120799","Adventure"
"122882","Adventure"
"122886","Adventure"
"119145","Adventure"
"119155","Adventure"
"119655","Adventure"
"126430","Adventure"
"122902","Adventure"
"122900","Adventure"
"122892","Adventure"
"122890","Adventure"
"122924","Adventure"
"122904","Adventure"
"116823","Adventure"
"116887","Adventure"
"118696","Adventure"
"117529","Adventure"
"117851","Adventure"
"84414","Adventure"
"84772","Adventure"
"84637","Adventure"
"82461","Adventure"
"82854","Adventure"
"83480","Adventure"
"85736","Adventure"
"85796","Adventure"
"86190","Adventure"
"86298","Adventure"
"86332","Adventure"
"86593","Adventure"
"84944","Adventure"
"85025","Adventure"
"85179","Adventure"
"85261","Adventure"
"80219","Adventure"
"80083","Adventure"
"80748","Adventure"
"80615","Adventure"
"79796","Adventure"
"79695","Adventure"
"81834","Adventure"
"82150","Adventure"
"82169","Adventure"
"81132","Adventure"
"80839","Adventure"
"81516","Adventure"
"81562","Adventure"
"77364","Adventure"
"77561","Adventure"
"76175","Adventure"
"75983","Adventure"
"76093","Adventure"
"79139","Adventure"
"78637","Adventure"
"78729","Adventure"
"78967","Adventure"
"78893","Adventure"
"78499","Adventure"
"77866","Adventure"
"78105","Adventure"
"73321","Adventure"
"72998","Adventure"
"72701","Adventure"
"74789","Adventure"
"74530","Adventure"
"74624","Adventure"
"74438","Adventure"
"73854","Adventure"
"73664","Adventure"
"96792","Adventure"
"97057","Adventure"
"97757","Adventure"
"97938","Adventure"
"98243","Adventure"
"98809","Adventure"
"99089","Adventure"
"99320","Adventure"
"99273","Adventure"
"93766","Adventure"
"93363","Adventure"
"94015","Adventure"
"94780","Adventure"
"94833","Adventure"
"94480","Adventure"
"95105","Adventure"
"95147","Adventure"
"95182","Adventure"
"95167","Adventure"
"95165","Adventure"
"95510","Adventure"
"95475","Adventure"
"95499","Adventure"
"95473","Adventure"
"95313","Adventure"
"95782","Adventure"
"95780","Adventure"
"95543","Adventure"
"96281","Adventure"
"96079","Adventure"
"95965","Adventure"
"96004","Adventure"
"96007","Adventure"
"95963","Adventure"
"90647","Adventure"
"90403","Adventure"
"90522","Adventure"
"91500","Adventure"
"91485","Adventure"
"91529","Adventure"
"91542","Adventure"
"91535","Adventure"
"91104","Adventure"
"91355","Adventure"
"92210","Adventure"
"91630","Adventure"
"92681","Adventure"
"92234","Adventure"
"87222","Adventure"
"87232","Adventure"
"86864","Adventure"
"86880","Adventure"
"88125","Adventure"
"88140","Adventure"
"87876","Adventure"
"87529","Adventure"
"87520","Adventure"
"87430","Adventure"
"89087","Adventure"
"89745","Adventure"
"89305","Adventure"
"60471","Adventure"
"60514","Adventure"
"60516","Adventure"
"60609","Adventure"
"60649","Adventure"
"60937","Adventure"
"61071","Adventure"
"61026","Adventure"
"59834","Adventure"
"59935","Adventure"
"59945","Adventure"
"59846","Adventure"
"60069","Adventure"
"60074","Adventure"
"60343","Adventure"
"62331","Adventure"
"62376","Adventure"
"62383","Adventure"
"61160","Adventure"
"61132","Adventure"
"61210","Adventure"
"61350","Adventure"
"61248","Adventure"
"64249","Adventure"
"63859","Adventure"
"64030","Adventure"
"64695","Adventure"
"64900","Adventure"
"63072","Adventure"
"63113","Adventure"
"62956","Adventure"
"62999","Adventure"
"63853","Adventure"
"63540","Adventure"
"65685","Adventure"
"65982","Adventure"
"66317","Adventure"
"65088","Adventure"
"65577","Adventure"
"65261","Adventure"
"68358","Adventure"
"68659","Adventure"
"68791","Adventure"
"67867","Adventure"
"66785","Adventure"
"66798","Adventure"
"66808","Adventure"
"66915","Adventure"
"69746","Adventure"
"69844","Adventure"
"69805","Adventure"
"69526","Adventure"
"69524","Adventure"
"69644","Adventure"
"69275","Adventure"
"69436","Adventure"
"69278","Adventure"
"68835","Adventure"
